source_file,source_sheet,academic_year,program_type,institute_name,course_name,category,quota,first_rank,last_rank,rank,admission_field
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Civil Engineering,OPEN,D2D,1103056.0,1103056.0,1103056,Civil Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Civil Engineering,ST,D2D,1104888.0,1104888.0,1104888,Civil Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Civil Engineering,SEBC,D2D,1101740.0,1101740.0,1101740,Civil Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Computer Engineering,OPEN,D2D,1100275.0,1100275.0,1100275,Computer Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Computer Engineering,SC,D2D,1102440.0,1102440.0,1102440,Computer Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Computer Engineering,ST,D2D,1107897.0,1107897.0,1107897,Computer Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Computer Engineering,SEBC,D2D,1100897.0,1100897.0,1100897,Computer Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Computer Engineering,EWS,D2D,1100430.0,1100430.0,1100430,Computer Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Electrical Engineering,OPEN,D2D,1102503.0,1102503.0,1102503,Electrical Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Electrical Engineering,SC,D2D,1103644.0,1103644.0,1103644,Electrical Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Electrical Engineering,ST,D2D,1105666.0,1105666.0,1105666,Electrical Engineering
22_23_D2D.xlsx,Table 1,2022-2023,D2D,"Birla Vishvakarma Mahavidyalaya, V.V. Nagar",Electrical Engineering,SEBC,D2D,1102091.0,1102091.0,1102091,Electrical Engineering
